Relative_Compactness;Surface_Area;Wall_Area;Roof_Area;Overall_Height;Orientation;Glazing_Area;Glazing_Area_Distribution;Heating_Load;Cooling_Load
0.64;784;343;220.5;3.5;4;0;0;10.77;16.75
0.64;784;343;220.5;3.5;5;0;0;10.56;16.67
0.62;808.5;367.5;220.5;3.5;2;0;0;8.6;12.07
0.62;808.5;367.5;220.5;3.5;3;0;0;8.49;12.22
0.62;808.5;367.5;220.5;3.5;4;0;0;8.45;12.08
0.62;808.5;367.5;220.5;3.5;5;0;0;8.5;12.04
0.98;514.5;294;110.25;7;2;0.1;1;24.58;26.47
0.98;514.5;294;110.25;7;3;0.1;1;24.63;26.37
0.98;514.5;294;110.25;7;4;0.1;1;24.63;26.44
0.98;514.5;294;110.25;7;5;0.1;1;24.59;26.29
0.9;563.5;318.5;122.5;7;2;0.1;1;29.03;32.92
0.9;563.5;318.5;122.5;7;3;0.1;1;29.87;29.87
0.9;563.5;318.5;122.5;7;4;0.1;1;29.14;29.58
0.9;563.5;318.5;122.5;7;5;0.1;1;28.09;34.33
0.86;588;294;147;7;2;0.1;1;26.28;30.89
0.86;588;294;147;7;3;0.1;1;26.91;25.6
0.86;588;294;147;7;4;0.1;1;26.37;27.03
0.86;588;294;147;7;5;0.1;1;25.27;31.73
0.82;612.5;318.5;147;7;2;0.1;1;23.53;27.31
0.82;612.5;318.5;147;7;3;0.1;1;24.03;24.91
0.82;612.5;318.5;147;7;4;0.1;1;23.54;24.61
0.82;612.5;318.5;147;7;5;0.1;1;22.58;28.51
0.79;637;343;147;7;2;0.1;1;35.56;41.68
0.79;637;343;147;7;3;0.1;1;37.12;35.28
0.79;637;343;147;7;4;0.1;1;36.9;34.43
0.79;637;343;147;7;5;0.1;1;35.94;43.33
0.76;661.5;416.5;122.5;7;2;0.1;1;32.96;33.87
0.76;661.5;416.5;122.5;7;3;0.1;1;32.12;34.07
0.76;661.5;416.5;122.5;7;4;0.1;1;32.94;34.14
0.76;661.5;416.5;122.5;7;5;0.1;1;32.21;33.67
0.74;686;245;220.5;3.5;2;0.1;1;10.36;13.43
0.74;686;245;220.5;3.5;3;0.1;1;10.43;13.71
0.74;686;245;220.5;3.5;4;0.1;1;10.36;13.48
0.74;686;245;220.5;3.5;5;0.1;1;10.39;13.7
0.71;710.5;269.5;220.5;3.5;2;0.1;1;10.71;13.8
0.71;710.5;269.5;220.5;3.5;3;0.1;1;10.8;14.28
0.71;710.5;269.5;220.5;3.5;4;0.1;1;10.7;13.87
0.71;710.5;269.5;220.5;3.5;5;0.1;1;10.75;14.27
0.69;735;294;220.5;3.5;2;0.1;1;11.11;14.28
0.69;735;294;220.5;3.5;3;0.1;1;11.13;14.61
0.69;735;294;220.5;3.5;4;0.1;1;11.09;14.3
0.69;735;294;220.5;3.5;5;0.1;1;11.16;14.45
0.66;759.5;318.5;220.5;3.5;2;0.1;1;11.68;13.9
0.66;759.5;318.5;220.5;3.5;3;0.1;1;11.69;13.72
0.66;759.5;318.5;220.5;3.5;4;0.1;1;11.7;13.88
0.66;759.5;318.5;220.5;3.5;5;0.1;1;11.69;13.65
0.64;784;343;220.5;3.5;2;0.1;1;15.41;19.37
0.64;784;343;220.5;3.5;3;0.1;1;15.2;19.43
0.64;784;343;220.5;3.5;4;0.1;1;15.42;19.34
0.64;784;343;220.5;3.5;5;0.1;1;15.21;19.32
0.62;808.5;367.5;220.5;3.5;2;0.1;1;12.96;14.34
0.62;808.5;367.5;220.5;3.5;3;0.1;1;12.97;14.5
0.62;808.5;367.5;220.5;3.5;4;0.1;1;12.93;14.33
0.62;808.5;367.5;220.5;3.5;5;0.1;1;13.02;14.27
0.98;514.5;294;110.25;7;2;0.1;2;24.29;25.95
0.98;514.5;294;110.25;7;3;0.1;2;24.31;25.63
0.98;514.5;294;110.25;7;4;0.1;2;24.13;26.13
0.98;514.5;294;110.25;7;5;0.1;2;24.25;25.89
0.9;563.5;318.5;122.5;7;2;0.1;2;28.88;32.54
0.9;563.5;318.5;122.5;7;3;0.1;2;29.68;29.44
0.9;563.5;318.5;122.5;7;4;0.1;2;28.83;29.36
0.9;563.5;318.5;122.5;7;5;0.1;2;27.9;34.2
0.86;588;294;147;7;2;0.1;2;26.48;30.91
0.86;588;294;147;7;3;0.1;2;27.02;25.63
0.86;588;294;147;7;4;0.1;2;26.33;27.36
0.86;588;294;147;7;5;0.1;2;25.36;31.9
0.82;612.5;318.5;147;7;2;0.1;2;23.75;27.38
0.82;612.5;318.5;147;7;3;0.1;2;24.23;25.02
0.82;612.5;318.5;147;7;4;0.1;2;23.67;24.8
0.82;612.5;318.5;147;7;5;0.1;2;22.79;28.79
0.79;637;343;147;7;2;0.1;2;35.65;41.07
0.79;637;343;147;7;3;0.1;2;37.26;34.62
0.79;637;343;147;7;4;0.1;2;36.97;33.87
0.79;637;343;147;7;5;0.1;2;36.03;42.86
0.76;661.5;416.5;122.5;7;2;0.1;2;33.16;33.91
0.76;661.5;416.5;122.5;7;3;0.1;2;32.4;34.07
0.76;661.5;416.5;122.5;7;4;0.1;2;33.12;34.17
0.76;661.5;416.5;122.5;7;5;0.1;2;32.41;33.78
0.74;686;245;220.5;3.5;2;0.1;2;10.42;13.39
0.74;686;245;220.5;3.5;3;0.1;2;10.46;13.72
0.74;686;245;220.5;3.5;4;0.1;2;10.32;13.57
0.74;686;245;220.5;3.5;5;0.1;2;10.45;13.79
0.71;710.5;269.5;220.5;3.5;2;0.1;2;10.64;13.67
0.71;710.5;269.5;220.5;3.5;3;0.1;2;10.72;14.11
0.71;710.5;269.5;220.5;3.5;4;0.1;2;10.55;13.8
0.71;710.5;269.5;220.5;3.5;5;0.1;2;10.68;14.21
0.69;735;294;220.5;3.5;2;0.1;2;11.45;13.2
0.69;735;294;220.5;3.5;3;0.1;2;11.46;13.54
0.69;735;294;220.5;3.5;4;0.1;2;11.32;13.32
0.69;735;294;220.5;3.5;5;0.1;2;11.49;13.51
0.66;759.5;318.5;220.5;3.5;2;0.1;2;11.45;14.86
0.66;759.5;318.5;220.5;3.5;3;0.1;2;11.42;14.75
0.66;759.5;318.5;220.5;3.5;4;0.1;2;11.33;15
0.66;759.5;318.5;220.5;3.5;5;0.1;2;11.43;14.74
0.64;784;343;220.5;3.5;2;0.1;2;15.41;19.23
0.64;784;343;220.5;3.5;3;0.1;2;15.18;19.34
0.64;784;343;220.5;3.5;4;0.1;2;15.34;19.32
0.64;784;343;220.5;3.5;5;0.1;2;15.19;19.3
0.62;808.5;367.5;220.5;3.5;2;0.1;2;12.88;14.37
0.62;808.5;367.5;220.5;3.5;3;0.1;2;13;14.57
0.62;808.5;367.5;220.5;3.5;4;0.1;2;12.97;14.27
0.62;808.5;367.5;220.5;3.5;5;0.1;2;13.04;14.24
0.98;514.5;294;110.25;7;2;0.1;3;24.28;25.68
0.98;514.5;294;110.25;7;3;0.1;3;24.4;26.02
0.98;514.5;294;110.25;7;4;0.1;3;24.11;25.84
0.98;514.5;294;110.25;7;5;0.1;3;24.35;26.14
0.9;563.5;318.5;122.5;7;2;0.1;3;28.07;34.14
0.9;563.5;318.5;122.5;7;3;0.1;3;29.01;32.85
0.9;563.5;318.5;122.5;7;4;0.1;3;29.62;30.08
0.9;563.5;318.5;122.5;7;5;0.1;3;29.05;29.67
0.86;588;294;147;7;2;0.1;3;25.41;31.73
0.86;588;294;147;7;3;0.1;3;26.47;31.01
0.86;588;294;147;7;4;0.1;3;26.89;25.9
0.86;588;294;147;7;5;0.1;3;26.46;27.4
0.82;612.5;318.5;147;7;2;0.1;3;22.93;28.68
0.82;612.5;318.5;147;7;3;0.1;3;23.84;27.54
0.82;612.5;318.5;147;7;4;0.1;3;24.17;25.35
0.82;612.5;318.5;147;7;5;0.1;3;23.87;24.93
0.79;637;343;147;7;2;0.1;3;35.78;43.12
0.79;637;343;147;7;3;0.1;3;35.48;41.22
0.79;637;343;147;7;4;0.1;3;36.97;35.1
0.79;637;343;147;7;5;0.1;3;36.7;34.29
0.76;661.5;416.5;122.5;7;2;0.1;3;32.52;33.85
0.76;661.5;416.5;122.5;7;3;0.1;3;33.28;34.11
0.76;661.5;416.5;122.5;7;4;0.1;3;32.33;34.48
0.76;661.5;416.5;122.5;7;5;0.1;3;33.24;34.5
0.74;686;245;220.5;3.5;2;0.1;3;10.39;13.6
0.74;686;245;220.5;3.5;3;0.1;3;10.34;13.36
0.74;686;245;220.5;3.5;4;0.1;3;10.35;13.65
0.74;686;245;220.5;3.5;5;0.1;3;10.38;13.49
0.71;710.5;269.5;220.5;3.5;2;0.1;3;10.77;14.14
0.71;710.5;269.5;220.5;3.5;3;0.1;3;10.68;13.77
0.71;710.5;269.5;220.5;3.5;4;0.1;3;10.68;14.3
0.71;710.5;269.5;220.5;3.5;5;0.1;3;10.7;13.87
0.69;735;294;220.5;3.5;2;0.1;3;11.22;14.44
0.69;735;294;220.5;3.5;3;0.1;3;11.16;14.27
0.69;735;294;220.5;3.5;4;0.1;3;11.1;14.67
0.69;735;294;220.5;3.5;5;0.1;3;11.14;14.4
0.66;759.5;318.5;220.5;3.5;2;0.1;3;11.59;13.46
0.66;759.5;318.5;220.5;3.5;3;0.1;3;11.6;13.7
0.66;759.5;318.5;220.5;3.5;4;0.1;3;11.53;13.59
0.66;759.5;318.5;220.5;3.5;5;0.1;3;11.61;13.83
0.64;784;343;220.5;3.5;2;0.1;3;15.16;19.14
0.64;784;343;220.5;3.5;3;0.1;3;15.36;19.18
0.64;784;343;220.5;3.5;4;0.1;3;15.12;19.37
0.64;784;343;220.5;3.5;5;0.1;3;15.36;19.29
0.62;808.5;367.5;220.5;3.5;2;0.1;3;12.68;14.09
0.62;808.5;367.5;220.5;3.5;3;0.1;3;12.63;14.23
0.62;808.5;367.5;220.5;3.5;4;0.1;3;12.71;14.14
0.62;808.5;367.5;220.5;3.5;5;0.1;3;12.73;13.89
0.98;514.5;294;110.25;7;2;0.1;4;24.38;25.91
0.98;514.5;294;110.25;7;3;0.1;4;24.23;25.72
0.98;514.5;294;110.25;7;4;0.1;4;24.04;26.18
0.98;514.5;294;110.25;7;5;0.1;4;24.32;25.87
0.9;563.5;318.5;122.5;7;2;0.1;4;29.06;29.34
0.9;563.5;318.5;122.5;7;3;0.1;4;28.05;33.91
0.9;563.5;318.5;122.5;7;4;0.1;4;28.86;32.83
0.9;563.5;318.5;122.5;7;5;0.1;4;29.79;29.92
0.86;588;294;147;7;2;0.1;4;26.44;27.17
0.86;588;294;147;7;3;0.1;4;25.37;31.76
0.86;588;294;147;7;4;0.1;4;26.33;31.06
0.86;588;294;147;7;5;0.1;4;27.03;25.81
0.82;612.5;318.5;147;7;2;0.1;4;23.8;24.61
0.82;612.5;318.5;147;7;3;0.1;4;22.8;28.61
0.82;612.5;318.5;147;7;4;0.1;4;23.59;27.57
0.82;612.5;318.5;147;7;5;0.1;4;24.24;25.16
0.79;637;343;147;7;2;0.1;4;36.86;34.25
0.79;637;343;147;7;3;0.1;4;35.89;43.3
0.79;637;343;147;7;4;0.1;4;35.45;41.86
0.79;637;343;147;7;5;0.1;4;37.1;35.29
0.76;661.5;416.5;122.5;7;2;0.1;4;33.08;34.11
0.76;661.5;416.5;122.5;7;3;0.1;4;32.38;33.62
0.76;661.5;416.5;122.5;7;4;0.1;4;33.09;33.89
0.76;661.5;416.5;122.5;7;5;0.1;4;32.31;34.05
0.74;686;245;220.5;3.5;2;0.1;4;10.08;13.2
0.74;686;245;220.5;3.5;3;0.1;4;10.15;13.36
0.74;686;245;220.5;3.5;4;0.1;4;10.07;13.21
0.74;686;245;220.5;3.5;5;0.1;4;10.14;13.53
0.71;710.5;269.5;220.5;3.5;2;0.1;4;10.66;13.67
0.71;710.5;269.5;220.5;3.5;3;0.1;4;10.68;14.12
0.71;710.5;269.5;220.5;3.5;4;0.1;4;10.53;13.79
0.71;710.5;269.5;220.5;3.5;5;0.1;4;10.72;14.2
0.69;735;294;220.5;3.5;2;0.1;4;11.18;14.29
0.69;735;294;220.5;3.5;3;0.1;4;11.22;14.49
0.69;735;294;220.5;3.5;4;0.1;4;11.07;14.42
0.69;735;294;220.5;3.5;5;0.1;4;11.2;14.73
0.66;759.5;318.5;220.5;3.5;2;0.1;4;11.44;14.86
0.66;759.5;318.5;220.5;3.5;3;0.1;4;11.42;14.67
0.66;759.5;318.5;220.5;3.5;4;0.1;4;11.33;15
0.66;759.5;318.5;220.5;3.5;5;0.1;4;11.43;14.83
0.64;784;343;220.5;3.5;2;0.1;4;15.4;19.24
0.64;784;343;220.5;3.5;3;0.1;4;15.19;19.25
0.64;784;343;220.5;3.5;4;0.1;4;15.32;19.42
0.64;784;343;220.5;3.5;5;0.1;4;15.16;19.48
0.62;808.5;367.5;220.5;3.5;2;0.1;4;12.85;14.37
0.62;808.5;367.5;220.5;3.5;3;0.1;4;13.04;14.34
0.62;808.5;367.5;220.5;3.5;4;0.1;4;13;14.28
0.62;808.5;367.5;220.5;3.5;5;0.1;4;13;14.47
0.98;514.5;294;110.25;7;2;0.1;5;24.35;25.64
0.98;514.5;294;110.25;7;3;0.1;5;24.33;25.98
0.98;514.5;294;110.25;7;4;0.1;5;24.03;25.88
0.98;514.5;294;110.25;7;5;0.1;5;24.26;26.18
0.9;563.5;318.5;122.5;7;2;0.1;5;29.83;29.82
0.9;563.5;318.5;122.5;7;3;0.1;5;29.08;29.52
0.9;563.5;318.5;122.5;7;4;0.1;5;28.03;34.45
0.9;563.5;318.5;122.5;7;5;0.1;5;29.02;33.01
0.86;588;294;147;7;2;0.1;5;27.03;25.82
0.86;588;294;147;7;3;0.1;5;26.45;27.33
0.86;588;294;147;7;4;0.1;5;25.36;32.04
0.86;588;294;147;7;5;0.1;5;26.45;31.28
0.82;612.5;318.5;147;7;2;0.1;5;24.37;25.11
0.82;612.5;318.5;147;7;3;0.1;5;23.89;24.77
0.82;612.5;318.5;147;7;4;0.1;5;22.89;28.88
0.82;612.5;318.5;147;7;5;0.1;5;23.86;27.69
0.79;637;343;147;7;2;0.1;5;37.03;34.99
0.79;637;343;147;7;3;0.1;5;36.71;34.18
0.79;637;343;147;7;4;0.1;5;36.77;43.14
0.79;637;343;147;7;5;0.1;5;35.48;41.26
0.76;661.5;416.5;122.5;7;2;0.1;5;32.31;34.25
0.76;661.5;416.5;122.5;7;3;0.1;5;33.21;34.35
0.76;661.5;416.5;122.5;7;4;0.1;5;32.46;33.64
0.76;661.5;416.5;122.5;7;5;0.1;5;33.27;33.88
0.74;686;245;220.5;3.5;2;0.1;5;10.47;13.65
0.74;686;245;220.5;3.5;3;0.1;5;10.37;13.44
0.74;686;245;220.5;3.5;4;0.1;5;10.34;13.72
0.74;686;245;220.5;3.5;5;0.1;5;10.39;13.5
0.71;710.5;269.5;220.5;3.5;2;0.1;5;10.78;14.18
0.71;710.5;269.5;220.5;3.5;3;0.1;5;10.7;13.75
0.71;710.5;269.5;220.5;3.5;4;0.1;5;10.67;14.26
0.71;710.5;269.5;220.5;3.5;5;0.1;5;13.69;13.89
0.69;735;294;220.5;3.5;2;0.1;5;11.21;14.55
0.69;735;294;220.5;3.5;3;0.1;5;11.14;14.28
0.69;735;294;220.5;3.5;4;0.1;5;11.11;14.46
0.69;735;294;220.5;3.5;5;0.1;5;11.16;14.39
0.66;759.5;318.5;220.5;3.5;2;0.1;5;11.38;14.54
0.66;759.5;318.5;220.5;3.5;3;0.1;5;11.34;14.81
0.66;759.5;318.5;220.5;3.5;4;0.1;5;11.22;14.65
0.66;759.5;318.5;220.5;3.5;5;0.1;5;11.34;14.87
0.64;784;343;220.5;3.5;2;0.1;5;15.16;19.24
0.64;784;343;220.5;3.5;3;0.1;5;15.37;19.18
0.64;784;343;220.5;3.5;4;0.1;5;15.12;19.26
0.64;784;343;220.5;3.5;5;0.1;5;15.36;19.29
0.62;808.5;367.5;220.5;3.5;2;0.1;5;12.59;14.24
0.62;808.5;367.5;220.5;3.5;3;0.1;5;12.74;13.97
0.62;808.5;367.5;220.5;3.5;4;0.1;5;12.8;13.99
0.62;808.5;367.5;220.5;3.5;5;0.1;5;12.62;14.15
0.98;514.5;294;110.25;7;2;0.25;1;28.15;29.79
0.98;514.5;294;110.25;7;3;0.25;1;28.15;29.79
0.98;514.5;294;110.25;7;4;0.25;1;28.37;29.28
0.98;514.5;294;110.25;7;5;0.25;1;28.41;29.49
0.9;563.5;318.5;122.5;7;2;0.25;1;32.68;36.12
0.9;563.5;318.5;122.5;7;3;0.25;1;33.48;33.17
0.9;563.5;318.5;122.5;7;4;0.25;1;32.84;32.71
0.9;563.5;318.5;122.5;7;5;0.25;1;32;37.58
0.86;588;294;147;7;2;0.25;1;29.54;33.98
0.86;588;294;147;7;3;0.25;1;30.05;28.61
0.86;588;294;147;7;4;0.25;1;29.6;30.12
0.86;588;294;147;7;5;0.25;1;28.66;34.73
0.82;612.5;318.5;147;7;2;0.25;1;26.84;30.17
0.82;612.5;318.5;147;7;3;0.25;1;27.27;27.84
0.82;612.5;318.5;147;7;4;0.25;1;26.97;27.25
0.82;612.5;318.5;147;7;5;0.25;1;26.19;31.39
0.79;637;343;147;7;2;0.25;1;38.67;43.8
0.79;637;343;147;7;3;0.25;1;40.03;37.81
0.79;637;343;147;7;4;0.25;1;39.86;36.85
0.79;637;343;147;7;5;0.25;1;39.04;45.52
0.76;661.5;416.5;122.5;7;2;0.25;1;36.96;36.85
0.76;661.5;416.5;122.5;7;3;0.25;1;36.13;37.58
0.76;661.5;416.5;122.5;7;4;0.25;1;36.91;37.45
0.76;661.5;416.5;122.5;7;5;0.25;1;36.43;36.62
0.74;686;245;220.5;3.5;2;0.25;1;12.43;15.19
0.74;686;245;220.5;3.5;3;0.25;1;12.5;15.5
0.74;686;245;220.5;3.5;4;0.25;1;12.41;15.28
0.74;686;245;220.5;3.5;5;0.25;1;12.45;15.5
0.71;710.5;269.5;220.5;3.5;2;0.25;1;12.57;15.42
0.71;710.5;269.5;220.5;3.5;3;0.25;1;12.65;15.85
0.71;710.5;269.5;220.5;3.5;4;0.25;1;12.57;15.44
0.71;710.5;269.5;220.5;3.5;5;0.25;1;12.63;15.81
0.69;735;294;220.5;3.5;2;0.25;1;12.78;15.21
0.69;735;294;220.5;3.5;3;0.25;1;12.93;15.63
0.69;735;294;220.5;3.5;4;0.25;1;12.73;15.48
0.69;735;294;220.5;3.5;5;0.25;1;12.72;15.78
0.66;759.5;318.5;220.5;3.5;2;0.25;1;13.17;16.39
0.66;759.5;318.5;220.5;3.5;3;0.25;1;13.18;16.27
0.66;759.5;318.5;220.5;3.5;4;0.25;1;13.17;16.39
0.66;759.5;318.5;220.5;3.5;5;0.25;1;13.18;16.19
0.64;784;343;220.5;3.5;2;0.25;1;17.5;21.13
0.64;784;343;220.5;3.5;3;0.25;1;17.35;21.19
0.64;784;343;220.5;3.5;4;0.25;1;17.52;21.09
0.64;784;343;220.5;3.5;5;0.25;1;17.37;21.08
0.62;808.5;367.5;220.5;3.5;2;0.25;1;15.09;15.77
0.62;808.5;367.5;220.5;3.5;3;0.25;1;15.12;15.95
0.62;808.5;367.5;220.5;3.5;4;0.25;1;15.08;15.77
0.62;808.5;367.5;220.5;3.5;5;0.25;1;15.16;15.76
0.98;514.5;294;110.25;7;2;0.25;2;28.67;29.62
0.98;514.5;294;110.25;7;3;0.25;2;28.57;29.69
0.98;514.5;294;110.25;7;4;0.25;2;28.18;30.18
0.98;514.5;294;110.25;7;5;0.25;2;28.6;30.02
0.9;563.5;318.5;122.5;7;2;0.25;2;32.46;35.56
0.9;563.5;318.5;122.5;7;3;0.25;2;33.27;32.64
0.9;563.5;318.5;122.5;7;4;0.25;2;32.33;32.77
0.9;563.5;318.5;122.5;7;5;0.25;2;31.66;37.72
0.86;588;294;147;7;2;0.25;2;29.34;33.37
0.86;588;294;147;7;3;0.25;2;29.87;27.89
0.86;588;294;147;7;4;0.25;2;29.27;29.9
0.86;588;294;147;7;5;0.25;2;28.4;34.52
0.82;612.5;318.5;147;7;2;0.25;2;25.74;28.27
0.82;612.5;318.5;147;7;3;0.25;2;25.98;26.96
0.82;612.5;318.5;147;7;4;0.25;2;25.38;26.72
0.82;612.5;318.5;147;7;5;0.25;2;24.94;29.88
0.79;637;343;147;7;2;0.25;2;38.57;43.86
0.79;637;343;147;7;3;0.25;2;40.19;37.41
0.79;637;343;147;7;4;0.25;2;39.97;36.77
0.79;637;343;147;7;5;0.25;2;38.98;45.97
0.76;661.5;416.5;122.5;7;2;0.25;2;36.95;36.87
0.76;661.5;416.5;122.5;7;3;0.25;2;36.28;37.35
0.76;661.5;416.5;122.5;7;4;0.25;2;36.86;37.28
0.76;661.5;416.5;122.5;7;5;0.25;2;36.45;36.81
0.74;686;245;220.5;3.5;2;0.25;2;12.35;14.73
0.74;686;245;220.5;3.5;3;0.25;2;12.45;15.1
0.74;686;245;220.5;3.5;4;0.25;2;12.16;15.18
0.74;686;245;220.5;3.5;5;0.25;2;12.3;15.44
0.71;710.5;269.5;220.5;3.5;2;0.25;2;12.33;14.91
0.71;710.5;269.5;220.5;3.5;3;0.25;2;12.29;15.4
0.71;710.5;269.5;220.5;3.5;4;0.25;2;12.2;14.94
0.71;710.5;269.5;220.5;3.5;5;0.25;2;12.49;15.32
0.69;735;294;220.5;3.5;2;0.25;2;12.85;15.52
0.69;735;294;220.5;3.5;3;0.25;2;12.87;15.85
0.69;735;294;220.5;3.5;4;0.25;2;12.73;15.66
0.69;735;294;220.5;3.5;5;0.25;2;12.95;15.99
0.66;759.5;318.5;220.5;3.5;2;0.25;2;13.05;15.89
0.66;759.5;318.5;220.5;3.5;3;0.25;2;12.93;15.85
0.66;759.5;318.5;220.5;3.5;4;0.25;2;12.77;16.22
0.66;759.5;318.5;220.5;3.5;5;0.25;2;13;15.87
0.64;784;343;220.5;3.5;2;0.25;2;17.14;20.47
0.64;784;343;220.5;3.5;3;0.25;2;16.84;20.56
0.64;784;343;220.5;3.5;4;0.25;2;17.02;20.48
0.64;784;343;220.5;3.5;5;0.25;2;17.11;20.43
0.62;808.5;367.5;220.5;3.5;2;0.25;2;14.34;15.32
0.62;808.5;367.5;220.5;3.5;3;0.25;2;14.66;15.64
0.62;808.5;367.5;220.5;3.5;4;0.25;2;14.6;15.14
0.62;808.5;367.5;220.5;3.5;5;0.25;2;14.6;15.3
0.98;514.5;294;110.25;7;2;0.25;3;28.67;29.43
0.98;514.5;294;110.25;7;3;0.25;3;28.56;29.78
0.98;514.5;294;110.25;7;4;0.25;3;28.17;30.1
0.98;514.5;294;110.25;7;5;0.25;3;28.63;30.19
0.9;563.5;318.5;122.5;7;2;0.25;3;31.63;36.35
0.9;563.5;318.5;122.5;7;3;0.25;3;32.4;35.1
0.9;563.5;318.5;122.5;7;4;0.25;3;32.68;32.83
0.9;563.5;318.5;122.5;7;5;0.25;3;32.29;32.46
0.86;588;294;147;7;2;0.25;3;28.4;33.52
0.86;588;294;147;7;3;0.25;3;29.4;32.93
0.86;588;294;147;7;4;0.25;3;29.43;28.38
0.86;588;294;147;7;5;0.25;3;29.07;29.82
0.82;612.5;318.5;147;7;2;0.25;3;24.7;28.77
0.82;612.5;318.5;147;7;3;0.25;3;25.48;27.76
0.82;612.5;318.5;147;7;4;0.25;3;25.37;26.95
0.82;612.5;318.5;147;7;5;0.25;3;25.17;26.41
0.79;637;343;147;7;2;0.25;3;39.04;45.13
0.79;637;343;147;7;3;0.25;3;38.35;43.66
0.79;637;343;147;7;4;0.25;3;39.81;37.76
0.79;637;343;147;7;5;0.25;3;39.83;36.87
0.76;661.5;416.5;122.5;7;2;0.25;3;35.99;36.07
0.76;661.5;416.5;122.5;7;3;0.25;3;36.59;36.44
0.76;661.5;416.5;122.5;7;4;0.25;3;35.64;37.28
0.76;661.5;416.5;122.5;7;5;0.25;3;36.52;37.29
0.74;686;245;220.5;3.5;2;0.25;3;11.8;14.49
0.74;686;245;220.5;3.5;3;0.25;3;12.03;13.79
0.74;686;245;220.5;3.5;4;0.25;3;11.98;14.72
0.74;686;245;220.5;3.5;5;0.25;3;11.69;14.76
0.71;710.5;269.5;220.5;3.5;2;0.25;3;12.41;14.92
0.71;710.5;269.5;220.5;3.5;3;0.25;3;12.28;14.74
0.71;710.5;269.5;220.5;3.5;4;0.25;3;12.1;15.57
0.71;710.5;269.5;220.5;3.5;5;0.25;3;12.19;14.94
0.69;735;294;220.5;3.5;2;0.25;3;12.34;14.92
0.69;735;294;220.5;3.5;3;0.25;3;12.46;14.38
0.69;735;294;220.5;3.5;4;0.25;3;12.31;15.44
0.69;735;294;220.5;3.5;5;0.25;3;12.12;15.17
0.66;759.5;318.5;220.5;3.5;2;0.25;3;12.97;15.53
0.66;759.5;318.5;220.5;3.5;3;0.25;3;13.01;15.8
0.66;759.5;318.5;220.5;3.5;4;0.25;3;12.74;16.14
0.66;759.5;318.5;220.5;3.5;5;0.25;3;12.84;16.26
0.64;784;343;220.5;3.5;2;0.25;3;16.83;19.87
0.64;784;343;220.5;3.5;3;0.25;3;16.93;20.03
0.64;784;343;220.5;3.5;4;0.25;3;16.66;20.46
